ID,Title,Summary,Published Date,URL,Source,Category
1,British Broadcasting Corporation,Ukraine has repeatedly urged the UK and US to let it fire long-range missiles against targets inside Russia.,2024-05-16 15:02:35,https://www.bbc.com/,BBC,Other
2,Home,Ukraine has repeatedly urged the UK and US to let it fire long-range missiles against targets inside Russia.,2023-10-15 12:52:36,https://www.bbc.com/,BBC,Lifestyle
3,Sport,"Premier League: Liverpool losing at home to Forest, Haaland scores twice as Man City lead",2024-07-25 08:26:36,https://www.bbc.com/sport,BBC,Sports
4,Video,"Montenegro's most difficult roads are also the most beautiful, as Carmen Roberts discovers.",2024-04-23 21:43:37,https://www.bbc.com/video,BBC,Other
5,Audio,,2024-04-07 09:05:38,https://www.bbc.co.uk/sounds,BBC,Other
6,Weather,,2024-06-09 18:40:39,https://www.bbc.com/weather,BBC,Other
7,Newsletters,,2024-06-17 16:47:39,https://www.bbc.com/newsletters,BBC,Other
8,'I tried to say no repeatedly': More men accuse ex-Abercrombie boss over sex eventsNew witnesses tell the BBC fresh details about the sophisticated operation they say exploited them for sex.17 hrs agoUS & Canada,"More men have come forward to the BBC accusing the former chief executive of Abercrombie & Fitch and his British partner of sexual exploitation. Some allege they were abused, and some that they were injected with drugs.",2024-01-27 08:49:39,https://www.bbc.com/news/articles/cj9l9dlgpmno,BBC,Lifestyle
9,"Myanmar hit by deadly floods after Typhoon YagiMyanmar's ruling junta has requested foreign aid as large areas are inundated, state-run media report.11 hrs agoAsia","Severe flooding has hit Myanmar after Typhoon Yagi, with more than 230,000 people forced to flee their homes, according to officials.",2024-07-11 07:40:40,https://www.bbc.com/news/articles/ckgn1yrkyppo,BBC,Lifestyle
10,"Torrential rain sweeps through central and eastern Europe, killing fourEvacuations are underway in Poland and the highest flood alert is active in 38 locations in the Czech Republic4 hrs agoEurope","Four people have died in Romania due to floods caused by torrential rain sweeping through central and eastern Europe, emergency services have said.",2024-04-24 04:52:41,https://www.bbc.com/news/articles/c2l1l8ng2edo,BBC,Politics
11,How Harris campaign is engaging with SwiftiesThe Harris campaign is hoping that Swift's millions of fans will turn out to vote.14 hrs agoUS & Canada,"Taylor Swift has just endorsed Kamala Harris – but it’s not just her vote Harris is after, it’s her millions of fans.",2024-07-06 07:20:41,https://www.bbc.com/news/articles/c3d9dd8v75no,BBC,Politics
12,"Women moved by defiant Gisèle Pelicot in France mass rape trialAs her story has emerged, she has become a symbol of courage and resilience.15 hrs agoEurope","When she walks into the courthouse in the French city of Avignon, flanked by her children and a team of lawyers, Gisèle Pelicot cuts an unassuming figure.",2024-06-28 10:13:42,https://www.bbc.com/news/articles/cvg5g24rr6lo,BBC,Politics
13,No new pledge on Ukraine missiles after Starmer-Biden talksUkraine has repeatedly urged the UK and US to let it fire long-range missiles against targets inside Russia.7 hrs agoWorld,"UK Prime Minister Sir Keir Starmer has held ""productive"" talks with US President Joe Biden about Ukraine – but he did not signal any decision on allowing Kyiv to fire long-range missiles into Russia.",2024-07-14 14:55:42,https://www.bbc.com/news/articles/cnvdyd4nnzro,BBC,Politics
14,"Thousands mourn Ugandan Olympian killed by ex-partnerThe death, after being set ablaze, of marathon runner Rebecca Chepetegei shocked the world.42 mins agoAfrica","Olympic marathon runner Rebecca Cheptegei, who was set ablaze by her former boyfriend and later died has been buried in her father's homestead in eastern Uganda.",2024-03-02 08:12:42,https://www.bbc.com/news/articles/c0494wl6lkgo,BBC,Sports
15,"Trailblazing ballerina Michaela DePrince dies aged 29A war orphan from Sierra Leone, DePrince moved to the US and ended up performing with Beyoncé.4 hrs agoCulture","Ballerina Michaela Mabinty DePrince, who performed with Beyoncé and was seen by many as a trailblazer, has died at the age of 29.",2023-11-30 21:56:43,https://www.bbc.com/news/articles/cj048m92qjeo,BBC,Lifestyle
16,Trump vows mass deportations from town rocked by 'pet-eating' lies18 hrs agoUS & Canada,Donald Trump has said he will mass deport migrants in a small Ohio town that has been rocked by baseless claims its Haitian influx are eating pets.,2023-10-10 15:02:43,https://www.bbc.com/news/articles/c3wp6q132p2o,BBC,Other
17,How woman who depicted Sunak as coconut was taken to court - and acquitted5 hrs agoLondon,"Marieha Hussain had marched for three hours with her family, and the children with them were getting tired.",2023-11-06 09:00:44,https://www.bbc.com/news/articles/cvgwew5v4qyo,BBC,Human Interest
18,Fake retro video game ring worth €50m smashed in Italy7 hrs agoEurope,"A video game trafficking ring has been smashed by police in Italy, after fake vintage consoles and games worth almost €50m ($55.5m) were seized.",2024-01-23 04:13:44,https://www.bbc.com/news/articles/c1k7387pmrpo,BBC,Sports
19,Ukrainians warn of being surrounded as Russia advances in east15 hrs agoEurope,"The situation is critical, a Ukrainian military officer in the east told the BBC near the front line south of Pokrovsk.",2024-08-22 18:40:45,https://www.bbc.com/news/articles/c1epe546p5vo,BBC,Other
20,One of England's biggest school academy trusts to ban phone use2 hrs agoEngland,One of England's largest school academy trusts is set to ban phones during the school day.,2024-08-14 17:53:45,https://www.bbc.com/news/articles/cvgdx7ddz55o,BBC,Education
21,'Femininomenon' Chappell Roan inspires devotion on UK tourThe American singer is already an icon to some as she embarks on her UK tour.14 hrs agoCulture,What is it called when an artist's first album is already a greatest hits collection?,2024-09-04 17:59:46,https://www.bbc.com/news/articles/cy545xpkr40o,BBC,Technology
22,What are Storm Shadow missiles and why are they crucial for Ukraine?Western states have long been cautious about allowing Ukraine to use their missiles against Russia.15 hrs agoWorld,There have been strong indications that the US and UK are poised to lift their restrictions within days on Ukraine using long-range missiles against targets inside Russia.,2024-06-16 05:10:46,https://www.bbc.com/news/articles/c0rwkk9r51jo,BBC,Other
23,Farmers and students star in China's viral new football leagueThe Guizhou Village Super League is a small football festival that has grown in popularity in China2 days agoAsia,It is a hot night and thousands of fans have packed into Rongjiang’s football ground for the final of the Guizhou Village Super League.,2024-05-22 00:19:47,https://www.bbc.com/news/articles/c75n4v392wyo,BBC,Sports
24,Starmer-Biden talks were about second-guessing PutinThe war in Ukraine hung over talks between the UK prime minister and US president in Washington.11 hrs agoWorld,"In the hours before the prime minister was taken by motorcade to the White House, he and his team were in a secure room at the nearby British Embassy.",2024-08-25 13:51:48,https://www.bbc.com/news/articles/cp3w5449x9zo,BBC,Politics
25,"‘Bipolar, colour and me’ - an artist’s spreadsheet of emotionHow using colour to track his bipolar disorder allowed artist Joseph Awuah-Darko to express his emotions.13 hrs agoAfrica","One day when struggling to get to grips with a spreadsheet to calculate his annual budget for art supplies, an idea popped into the mind of Ghanaian visual artist Joseph Awuah-Darko.",2024-09-11 15:34:48,https://www.bbc.com/news/articles/ce805y2z47jo,BBC,Lifestyle
26,Bangladesh leader’s ‘megaphone diplomacy’ irks IndiaTies between India and Bangladesh remain frosty more than a month after Sheikh Hasina was ousted from power.2 days agoAsia,"The relationship between neighbours India and Bangladesh continues to remain frosty more than a month after former prime minister Sheikh Hasina was ousted from power. While Hasina’s stay in India remains an irritant, a recent interview by Bangladesh’s interim leader Muhammad Yunus also took India by surprise. The BBC’s Anbarasan Ethirajan examines where ties stand now.",2024-07-13 12:41:49,https://www.bbc.com/news/articles/cz6xqyzzdxgo,BBC,Politics
27,'Undemocratic overkill' in Pakistan as Imran Khan's followers push to free himProtests and arrests mark the latest flashpoint in a fierce game of cat and mouse between Pakistan's political parties.2 days agoAsia,"For weeks, the roads around Islamabad have been lined by shipping containers; road blocks ready for immediate deployment in the event of any protest.",2023-09-18 00:28:49,https://www.bbc.com/news/articles/czx6xvgqe1ko,BBC,Sports
28,1US freight train crashes into military vehicle,"Dash cam footage shows the moment a freight train crashes into a military vehicle in Goose Creek, South Carolina.",2024-08-15 11:45:50,https://www.bbc.com/news/videos/c93p35wd00eo,BBC,Other
29,"2'Space is my happy place,' says stranded astronaut","Speaking at a press conference from the International Space Station, Suni Williams said that space is ""her happy place"".",2024-07-05 13:47:50,https://www.bbc.com/news/videos/ced019gne3no,BBC,Technology
30,3Entangled whale freed from nets after four-day rescue,"More than 50 rope cuts were made to free an 11m (36ft) humpback whale off the coast of British Columbia, Canada.",2024-08-04 18:51:51,https://www.bbc.com/news/videos/c5yky28mjxeo,BBC,Human Interest
31,4John Legend: Why abortion issue is personal for Chrissy Teigen and me,Singer John Legend has told the BBC that abortion is a personal topic for him and his wife Chrissy Teigen ahead of the US presidential election in November.,2023-09-16 07:52:51,https://www.bbc.com/news/videos/cpdldg1zlwzo,BBC,Politics
32,5Woven roundel sign celebrates London Overground line,Weavers in east London have celebrated a newly-named stretch of the London Overground by producing a roundel made out of fabric.,2023-10-19 17:51:52,https://www.bbc.com/news/videos/c8jlj4k9j7no,BBC,Other
33,"Laura Loomer: Who is conspiracy theorist travelling with Trump?She joined Trump at an event on Wednesday, and travelled to the presidential debate the day before on his plane.18 hrs agoUS & Canada","The presence of hard-right conspiracy theorist Laura Loomer alongside Donald Trump on the campaign trail in recent days has raised questions, including from some Republicans, about the influence the controversial former congressional candidate may have on him.",2024-08-17 13:12:52,https://www.bbc.com/news/articles/cly8y27dwgpo,BBC,Politics
34,Russia and Ukraine exchange 206 prisonersThe Russian servicemen released include those captured during Ukraine's recent attack in Kursk.2 hrs agoEurope,Russia and Ukraine have exchanged 206 prisoners of war in a deal brokered by the United Arab Emirates (UAE).,2024-03-02 06:56:52,https://www.bbc.com/news/articles/c4g5d7j9900o,BBC,Other
35,"Spray, sculpture and spacewalks: Photos of the weekA selection of striking news photographs taken around the world this week.12 hrs agoIn Pictures",A selection of striking news photographs taken around the world this week.,2024-07-29 23:41:53,https://www.bbc.com/news/articles/cje2ej9l2xgo,BBC,Politics
36,A baby hippo is going viral - and paying the priceThe celebrity hippo's social media fame has doubled visitor numbers at a zoo in Thailand.1 day agoAsia,A baby hippopotamus is causing a fan frenzy in Thailand.,2023-10-11 00:04:53,https://www.bbc.com/news/articles/cy848292dr4o,BBC,Human Interest
37,"China raises retirement age for first time since 1950sThe plan, which will set in from January, has been on the cards for a few years as China's population ages.1 day agoAsia","China will ""gradually raise"" its retirement age for the first time since the 1950s, as the country confronts an ageing population and a dwindling pension budget.",2024-09-03 15:24:53,https://www.bbc.com/news/articles/c62421le4j6o,BBC,Other
38,She spotted dolphin in Wales before her death - now it shares her nameA mum says she's honoured that two dolphins have been named after her daughter who died in April.10 hrs agoWales,"In Cardigan Bay, bottle-nosed dolphin Tallie and her newborn Summer have been delighting wildlife spotters in recent days.",2023-09-29 09:17:54,https://www.bbc.com/news/articles/c78lg94ne03o,BBC,Business
39,William and Kate donate funds to burgled food bankThe Prince and Princess of Wales make a donation to Southwark Foodbank as the community rallies.21 hrs agoLondon,The Prince and Princess of Wales have made a donation to help replenish stock at a south London food bank which had thousands of pounds worth of goods stolen.,2024-08-17 22:27:56,https://www.bbc.com/news/articles/cy0n0046dego,BBC,Business
40,1Bangladesh leader’s ‘megaphone diplomacy’ irks India,"The relationship between neighbours India and Bangladesh continues to remain frosty more than a month after former prime minister Sheikh Hasina was ousted from power. While Hasina’s stay in India remains an irritant, a recent interview by Bangladesh’s interim leader Muhammad Yunus also took India by surprise. The BBC’s Anbarasan Ethirajan examines where ties stand now.",2024-07-20 15:43:56,https://www.bbc.com/news/articles/cz6xqyzzdxgo,BBC,Politics
